n,epsilon,dd,hh,Qsc_MACRS,inv_C_start,inv_C_end,invC_sum,FOMS,FOMS_norm_n,FOMS_norm_ne,logQ,logInvC,logFOMS,logFOMS_norm_n,logFOMS_norm_ne
2,3,5.0000000000e-01,1.0000000000e+00,1.1013300000e-10,1.3223200000e+12,1.3480800000e+12,2.6704000000e+12,3.4438000000e-04,1.7219000000e-04,5.7396666667e-05,-1.9916165061e+01,1.2426576319e+01,-3.4629620783e+00,-3.7639920740e+00,-4.2411133287e+00
2,3,1.0000000000e+00,3.9062500000e-03,8.4857500000e-10,2.4000968774e+10,3.1245500000e+11,3.3645596877e+11,2.5759330000e-03,1.2879665000e-03,4.2932216667e-04,-1.8142619534e+01,1.1526928237e+01,-2.5890654372e+00,-2.8900954328e+00,-3.3672166875e+00
2,3,1.0000000000e+00,7.8125000000e-03,8.2640400000e-10,4.6902793533e+10,3.8172600000e+11,4.2862879353e+11,3.1123720000e-03,1.5561860000e-03,5.1872866667e-04,-1.8165615179e+01,1.1632081342e+01,-2.5069085004e+00,-2.8079384961e+00,-3.2850597508e+00
2,3,1.0000000000e+00,1.5625000000e-02,7.8518800000e-10,9.0292101195e+10,4.4752800000e+11,5.3782010120e+11,3.5254150000e-03,1.7627075000e-03,5.8756916667e-04,-1.8210052693e+01,1.1730637030e+01,-2.4527897520e+00,-2.7538197476e+00,-3.2309410024e+00
2,3,1.0000000000e+00,3.1250000000e-02,7.1576700000e-10,1.6905100000e+11,5.2156600000e+11,6.9061700000e+11,3.7618950000e-03,1.8809475000e-03,6.2698250000e-04,-1.8290456657e+01,1.1839237265e+01,-2.4245933304e+00,-2.7256233261e+00,-3.2027445808e+00
2,3,1.0000000000e+00,6.2500000000e-02,6.0686900000e-10,3.0438400000e+11,6.1992000000e+11,9.2430400000e+11,3.6193560000e-03,1.8096780000e-03,6.0322600000e-04,-1.8433810093e+01,1.1965814832e+01,-2.4413686976e+00,-2.7423986932e+00,-3.2195199480e+00
2,3,1.0000000000e+00,1.2500000000e-01,4.5151200000e-10,5.1742900000e+11,7.5427500000e+11,1.2717040000e+12,2.7564480000e-03,1.3782240000e-03,4.5940800000e-04,-1.8690661406e+01,1.2104386037e+01,-2.5596501960e+00,-2.8606801917e+00,-3.3378014464e+00
2,3,1.0000000000e+00,2.5000000000e-01,2.6433000000e-10,8.1468600000e+11,9.4535100000e+11,1.7600370000e+12,1.3074940000e-03,6.5374700000e-04,2.1791566667e-04,-1.9155707088e+01,1.2245521798e+01,-2.8835602954e+00,-3.1845902911e+00,-3.6617115458e+00
2,3,1.0000000000e+00,5.0000000000e-01,1.0333300000e-10,1.1672300000e+12,1.2104400000e+12,2.3776700000e+12,2.6993300000e-04,1.3496650000e-04,4.4988833333e-05,-1.9971521924e+01,1.2376151578e+01,-3.5687440186e+00,-3.8697740143e+00,-4.3468952690e+00
2,3,1.0000000000e+00,1.0000000000e+00,2.1987300000e-11,1.5074700000e+12,1.5140600000e+12,3.0215300000e+12,1.5530900000e-05,7.7654500000e-06,2.5884833333e-06,-2.1315656196e+01,1.2480226911e+01,-4.8088033766e+00,-5.1098333723e+00,-5.5869546270e+00
2,5,3.1250000000e-02,3.9062500000e-03,2.9996100000e-09,4.2912595220e+09,1.5995300000e+11,1.6424425952e+11,1.5712533000e-02,7.8562665000e-03,1.5712533000e-03,-1.7045870414e+01,1.1215490200e+01,-1.8037537972e+00,-2.1047837928e+00,-2.8037537972e+00
2,5,3.1250000000e-02,7.8125000000e-03,2.9785200000e-09,8.5415131870e+09,2.2173600000e+11,2.3027751319e+11,2.1720944000e-02,1.0860472000e-02,2.1720944000e-03,-1.7051998959e+01,1.1362251531e+01,-1.6631213041e+00,-1.9641512997e+00,-2.6631213041e+00
2,5,3.1250000000e-02,1.5625000000e-02,2.9356100000e-09,1.6942649526e+10,2.7959100000e+11,2.9653364953e+11,2.7170331000e-02,1.3585165500e-02,2.7170331000e-03,-1.7064603283e+01,1.1472073983e+01,-1.5659050708e+00,-1.8669350665e+00,-2.5659050708e+00
2,5,3.1250000000e-02,3.1250000000e-02,2.8497500000e-09,3.3430213210e+10,3.2686300000e+11,3.6029321321e+11,3.1109596000e-02,1.5554798000e-02,3.1109596000e-03,-1.7090386475e+01,1.1556656081e+01,-1.5071056288e+00,-1.8081356244e+00,-2.5071056288e+00
2,5,3.1250000000e-02,6.2500000000e-02,2.7116700000e-09,6.5343667130e+10,3.8786300000e+11,4.5320666713e+11,3.5432041000e-02,1.7716020500e-02,3.5432041000e-03,-1.7133526327e+01,1.1656296290e+01,-1.4506038302e+00,-1.7516338258e+00,-2.4506038302e+00
2,5,3.1250000000e-02,1.2500000000e-01,2.4776500000e-09,1.2566200000e+11,4.5818100000e+11,5.8384300000e+11,3.8106806000e-02,1.9053403000e-02,3.8106806000e-03,-1.7211920087e+01,1.1766296078e+01,-1.4189974510e+00,-1.7200274466e+00,-2.4189974510e+00
2,5,3.1250000000e-02,2.5000000000e-01,2.1116400000e-09,2.3558500000e+11,5.5183000000e+11,7.8741500000e+11,3.7331032000e-02,1.8665516000e-02,3.7331032000e-03,-1.7350760240e+01,1.1896203684e+01,-1.4279300040e+00,-1.7289599997e+00,-2.4279300040e+00
2,5,3.1250000000e-02,5.0000000000e-01,1.6050800000e-09,4.2338100000e+11,6.8788700000e+11,1.1112680000e+12,3.0439597000e-02,1.5219798500e-02,3.0439597000e-03,-1.7589006633e+01,1.2045818809e+01,-1.5165611016e+00,-1.8175910973e+00,-2.5165611016e+00
2,5,3.1250000000e-02,1.0000000000e+00,1.0760500000e-09,7.1049200000e+11,9.0430100000e+11,1.6147930000e+12,1.9879487000e-02,9.9397435000e-03,1.9879487000e-03,-1.7936335096e+01,1.2208116858e+01,-1.7015948270e+00,-2.0026248226e+00,-2.7015948270e+00
2,5,6.2500000000e-02,3.9062500000e-03,2.6413400000e-09,4.8627172990e+09,1.6819000000e+11,1.7305271730e+11,1.2836668000e-02,6.4183340000e-03,1.2836668000e-03,-1.7156351383e+01,1.1238178423e+01,-1.8915476910e+00,-2.1925776867e+00,-2.8915476910e+00
2,5,6.2500000000e-02,7.8125000000e-03,2.6213900000e-09,9.6728887270e+09,2.3234700000e+11,2.4201988873e+11,1.7682403000e-02,8.8412015000e-03,1.7682403000e-03,-1.7162936723e+01,1.1383851057e+01,-1.7524587156e+00,-2.0534887113e+00,-2.7524587156e+00
2,5,6.2500000000e-02,1.5625000000e-02,2.5817000000e-09,1.9168529212e+10,2.9278200000e+11,3.1195052921e+11,2.2106672000e-02,1.1053336000e-02,2.2106672000e-03,-1.7176188450e+01,1.1494085727e+01,-1.6554766324e+00,-1.9565066281e+00,-2.6554766324e+00
2,5,6.2500000000e-02,3.1250000000e-02,2.5031900000e-09,3.7757479672e+10,3.4399300000e+11,3.8175047967e+11,2.5432732000e-02,1.2716366000e-02,2.5432732000e-03,-1.7203012370e+01,1.1581779591e+01,-1.5946069851e+00,-1.8956369808e+00,-2.5946069851e+00
2,5,6.2500000000e-02,6.2500000000e-02,2.3750500000e-09,7.3571656282e+10,4.0688600000e+11,4.8045765628e+11,2.8815452000e-02,1.4407726000e-02,2.8815452000e-03,-1.7248654486e+01,1.1681655118e+01,-1.5403745637e+00,-1.8414045593e+00,-2.5403745637e+00
2,5,6.2500000000e-02,1.2500000000e-01,2.1586600000e-09,1.4089200000e+11,4.8140900000e+11,6.2230100000e+11,3.0831417000e-02,1.5415708500e-02,3.0831417000e-03,-1.7331631512e+01,1.1794000499e+01,-1.5110065148e+00,-1.8120365105e+00,-2.5110065148e+00
2,5,6.2500000000e-02,2.5000000000e-01,1.8114500000e-09,2.6237300000e+11,5.7677400000e+11,8.3914700000e+11,2.9276419000e-02,1.4638209500e-02,2.9276419000e-03,-1.7483947298e+01,1.1923838046e+01,-1.5334820459e+00,-1.8345120416e+00,-2.5334820459e+00
2,5,6.2500000000e-02,5.0000000000e-01,1.3347100000e-09,4.6641600000e+11,7.1688500000e+11,1.1833010000e+12,2.2412795000e-02,1.1206397500e-02,2.2412795000e-03,-1.7749226171e+01,1.2073095232e+01,-1.6495039812e+00,-1.9505339768e+00,-2.6495039812e+00
2,5,6.2500000000e-02,1.0000000000e+00,8.4503900000e-10,7.7220900000e+11,9.4105100000e+11,1.7132600000e+12,1.3007780000e-02,6.5038900000e-03,1.3007780000e-03,-1.8146246494e+01,1.2233823275e+01,-1.8857968169e+00,-2.1868268126e+00,-2.8857968169e+00
2,5,1.2500000000e-01,3.9062500000e-03,2.1306100000e-09,6.0064550820e+09,1.8310900000e+11,1.8911545508e+11,9.1277450000e-03,4.5638725000e-03,9.1277450000e-04,-1.7342992078e+01,1.1276727022e+01,-2.0396365012e+00,-2.3406664969e+00,-3.0396365012e+00
2,5,1.2500000000e-01,7.8125000000e-03,2.1126700000e-09,1.1931742535e+10,2.5032000000e+11,2.6225174254e+11,1.2445369000e-02,6.2226845000e-03,1.2445369000e-03,-1.7350336669e+01,1.1418718383e+01,-1.9049922222e+00,-2.2060222179e+00,-2.9049922222e+00
2,5,1.2500000000e-01,1.5625000000e-02,2.0771400000e-09,2.3581735183e+10,3.1371600000e+11,3.3729773518e+11,1.5472808000e-02,7.7364040000e-03,1.5472808000e-03,-1.7365068462e+01,1.1528013425e+01,-1.8104308635e+00,-2.1114608592e+00,-2.8104308635e+00
