n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
2,5,0.125,0.0625,89678846852,4.34858E+11,1.34354E-09,3.23598E-09,1.89244E-09,1286.703965,0.019973127
2,5,0.125,0.125,1.70082E+11,5.1154E+11,1.33614E-09,3.03108E-09,1.69493E-09,1323.263941,0.020819781
2,5,0.125,0.25,3.11587E+11,6.11254E+11,1.32234E-09,2.70477E-09,1.38243E-09,1241.277701,0.018751583
2,5,0.125,0.5,5.41625E+11,7.62973E+11,1.30219E-09,2.27149E-09,9.69296E-10,1027.784904,0.013032123
2,5,0.125,1,8.70916E+11,9.99917E+11,1.28333E-09,1.84075E-09,5.5742E-10,722.9249495,0.006180528
2,5,0.25,0.00390625,8278068442,2.09378E+11,1.95635E-09,3.49157E-09,1.53522E-09,714.862692,0.005454285
2,5,0.25,0.0078125,16409555819,2.79339E+11,1.95506E-09,3.47402E-09,1.51896E-09,938.3456007,0.007255057
2,5,0.25,0.015625,32294033922,3.44227E+11,1.95192E-09,3.43992E-09,1.488E-09,1121.076995,0.008863847
2,5,0.25,0.03125,62906274722,4.03956E+11,1.94616E-09,3.37583E-09,1.42967E-09,1241.261203,0.010145818
2,5,0.25,0.0625,1.20473E+11,4.71454E+11,1.93754E-09,3.26438E-09,1.32684E-09,1305.585206,0.011079839
2,5,0.25,0.125,2.2385E+11,5.52716E+11,1.91867E-09,3.07502E-09,1.15634E-09,1270.116396,0.011040215
2,5,0.25,0.25,3.98059E+11,6.66568E+11,1.88551E-09,2.78637E-09,9.00856E-10,1106.7591,0.009186174
2,5,0.25,0.5,6.63927E+11,8.37222E+11,1.83284E-09,2.4119E-09,5.79058E-10,802.424183,0.005351733
2,5,0.25,1,1.0133E+12,1.0923E+12,1.76444E-09,2.04738E-09,2.8295E-10,448.4406975,0.00179234
2,5,0.5,0.00390625,12786149930,2.48307E+11,2.51773E-09,3.49989E-09,9.82158E-10,836.8550109,0.002677835
2,5,0.5,0.0078125,25221318011,3.19337E+11,2.5158E-09,3.48364E-09,9.67838E-10,1049.001645,0.003431578
2,5,0.5,0.015625,49258863525,3.84862E+11,2.51162E-09,3.45248E-09,9.40862E-10,1205.008103,0.004085907
2,5,0.5,0.03125,94750894849,4.4653E+11,2.50443E-09,3.39381E-09,8.89378E-10,1278.139601,0.004552198
