n,A,E,dd,d,hh,h,V
2,0.0,3,0.25,0.000938,0.25,0.00375,-715.641039
2,0.0,3,0.25,0.001875,0.5,0.0075,-1143.218481
2,0.0,3,0.25,0.00375,1.0,0.015,-1664.838007
2,0.0,3,0.5,2.93e-05,0.00390625,5.86e-05,-32.1107791
2,0.0,3,0.5,5.86e-05,0.0078125,0.000117,-63.1699535
2,0.0,3,0.5,0.000117,0.015625,0.000234,-122.8094126
2,0.0,3,0.5,0.000234,0.03125,0.000469,-234.4491942
2,0.0,3,0.5,0.000469,0.0625,0.000938,-433.2973601
2,0.0,3,0.5,0.000938,0.125,0.001875,-762.4265813
2,0.0,3,0.5,0.001875,0.25,0.00375,-1250.802833
2,0.0,3,0.5,0.00375,0.5,0.0075,-1866.592193
2,0.0,3,0.5,0.0075,1.0,0.015,-2497.106683
2,0.0,3,1.0,5.86e-05,0.00390625,5.86e-05,-63.48158046
2,0.0,3,1.0,0.000117,0.0078125,0.000117,-123.9587017
2,0.0,3,1.0,0.000234,0.015625,0.000234,-238.2510094
2,0.0,3,1.0,0.000469,0.03125,0.000469,-444.5057971
2,0.0,3,1.0,0.000938,0.0625,0.000938,-794.875887
2,0.0,3,1.0,0.001875,0.125,0.001875,-1333.260987
2,0.0,3,1.0,0.00375,0.25,0.00375,-2048.403419
2,0.0,3,1.0,0.0075,0.5,0.0075,-2816.736375
2,0.0,3,1.0,0.015,1.0,0.015,-3434.212394
2,0.0,5,0.03125,1.83e-06,0.00390625,5.86e-05,-2.038440814
2,0.0,5,0.03125,3.66e-06,0.0078125,0.000117,-4.052832944
2,0.0,5,0.03125,7.32e-06,0.015625,0.000234,-8.030670614
2,0.0,5,0.03125,1.46e-05,0.03125,0.000469,-15.84741895
2,0.0,5,0.03125,2.93e-05,0.0625,0.000938,-31.0044911
2,0.0,5,0.03125,5.86e-05,0.125,0.001875,-59.67984462
2,0.0,5,0.03125,0.000117,0.25,0.00375,-112.6222725
2,0.0,5,0.03125,0.000234,0.5,0.0075,-206.0033231
2,0.0,5,0.03125,0.000469,1.0,0.015,-359.9718816
2,0.0,5,0.0625,3.66e-06,0.00390625,5.86e-05,-4.0699086
2,0.0,5,0.0625,7.32e-06,0.0078125,0.000117,-8.089805084
2,0.0,5,0.0625,1.46e-05,0.015625,0.000234,-16.01357436
2,0.0,5,0.0625,2.93e-05,0.03125,0.000469,-31.52383464
2,0.0,5,0.0625,5.86e-05,0.0625,0.000938,-61.30302275
2,0.0,5,0.0625,0.000117,0.125,0.001875,-117.2094049
2,0.0,5,0.0625,0.000234,0.25,0.00375,-218.2061355
2,0.0,5,0.0625,0.000469,0.5,0.0075,-388.2121679
2,0.0,5,0.0625,0.000938,1.0,0.015,-651.4392585
2,0.0,5,0.125,7.32e-06,0.00390625,5.86e-05,-8.128865264
2,0.0,5,0.125,1.46e-05,0.0078125,0.000117,-16.13316016
2,0.0,5,0.125,2.93e-05,0.015625,0.000234,-31.84388162
2,0.0,5,0.125,5.86e-05,0.03125,0.000469,-62.36220255
2,0.0,5,0.125,0.000117,0.0625,0.000938,-120.4868299
2,0.0,5,0.125,0.000234,0.125,0.001875,-227.2540603
2,0.0,5,0.125,0.000469,0.25,0.00375,-412.0253598
2,0.0,5,0.125,0.000938,0.5,0.0075,-705.2994657
2,0.0,5,0.125,0.001875,1.0,0.015,-1117.676838
2,0.0,5,0.25,1.46e-05,0.00390625,5.86e-05,-16.1947996
2,0.0,5,0.25,2.93e-05,0.0078125,0.000117,-32.08162988
2,0.0,5,0.25,5.86e-05,0.015625,0.000234,-63.0352242
2,0.0,5,0.25,0.000117,0.03125,0.000469,-122.4258622
2,0.0,5,0.25,0.000234,0.0625,0.000938,-233.4206614
2,0.0,5,0.25,0.000469,0.125,0.001875,-429.4941271
2,0.0,5,0.25,0.000938,0.25,0.00375,-750.5462101
2,0.0,5,0.25,0.001875,0.5,0.0075,-1216.87467
2,0.0,5,0.25,0.00375,1.0,0.015,-1787.908738
2,0.0,5,0.5,2.93e-05,0.00390625,5.86e-05,-32.1921146
2,0.0,5,0.5,5.86e-05,0.0078125,0.000117,-63.45176925
2,0.0,5,0.5,0.000117,0.015625,0.000234,-123.7193453
2,0.0,5,0.5,0.000234,0.03125,0.000469,-237.2969671
2,0.0,5,0.5,0.000469,0.0625,0.000938,-441.5958356
2,0.0,5,0.5,0.000938,0.125,0.001875,-784.1813342
2,0.0,5,0.5,0.001875,0.25,0.00375,-1300.805524
2,0.0,5,0.5,0.00375,0.5,0.0075,-1963.060064
2,0.0,5,0.5,0.0075,1.0,0.015,-2642.33286
2,0.0,5,1.0,5.86e-05,0.00390625,5.86e-05,-63.62738242
2,0.0,5,1.0,0.000117,0.0078125,0.000117,-124.4532134
2,0.0,5,1.0,0.000234,0.015625,0.000234,-239.7902253
2,0.0,5,1.0,0.000469,0.03125,0.000469,-449.0830951
2,0.0,5,1.0,0.000938,0.0625,0.000938,-807.2158336
2,0.0,5,1.0,0.001875,0.125,0.001875,-1362.929286
2,0.0,5,1.0,0.00375,0.25,0.00375,-2110.809367
2,0.0,5,1.0,0.0075,0.5,0.0075,-2926.623205
2,0.0,5,1.0,0.015,1.0,0.015,-3586.778555
2,0.0,7,0.03125,1.83e-06,0.00390625,5.86e-05,-2.041176376
2,0.0,7,0.03125,3.66e-06,0.0078125,0.000117,-4.062418668
2,0.0,7,0.03125,7.32e-06,0.015625,0.000234,-8.062745584
2,0.0,7,0.03125,1.46e-05,0.03125,0.000469,-15.95399339
2,0.0,7,0.03125,2.93e-05,0.0625,0.000938,-31.35162569
2,0.0,7,0.03125,5.86e-05,0.125,0.001875,-60.75077775
2,0.0,7,0.03125,0.000117,0.25,0.00375,-115.7353602
2,0.0,7,0.03125,0.000234,0.5,0.0075,-214.2656917
2,0.0,7,0.03125,0.000469,1.0,0.015,-379.0222842
2,0.0,7,0.0625,3.66e-06,0.00390625,5.86e-05,-4.075024269
2,0.0,7,0.0625,7.32e-06,0.0078125,0.000117,-8.107643771
2,0.0,7,0.0625,1.46e-05,0.015625,0.000234,-16.07346873
2,0.0,7,0.0625,2.93e-05,0.03125,0.000469,-31.72661181
2,0.0,7,0.0625,5.86e-05,0.0625,0.000938,-61.953263
2,0.0,7,0.0625,0.000117,0.125,0.001875,-119.216044
2,0.0,7,0.0625,0.000234,0.25,0.00375,-223.9514393
2,0.0,7,0.0625,0.000469,0.5,0.0075,-402.9466565
2,0.0,7,0.0625,0.000938,1.0,0.015,-683.6444734
2,0.0,7,0.125,7.32e-06,0.00390625,5.86e-05,-8.138039511
2,0.0,7,0.125,1.46e-05,0.0078125,0.000117,-16.1658269
2,0.0,7,0.125,2.93e-05,0.015625,0.000234,-31.95589023
2,0.0,7,0.125,5.86e-05,0.03125,0.000469,-62.73382782
2,0.0,7,0.125,0.000117,0.0625,0.000938,-121.6881977
2,0.0,7,0.125,0.000234,0.125,0.001875,-230.8804901
2,0.0,7,0.125,0.000469,0.25,0.00375,-422.0225052
2,0.0,7,0.125,0.000938,0.5,0.0075,-729.6407857
2,0.0,7,0.125,0.001875,1.0,0.015,-1167.28741
2,0.0,7,0.25,1.46e-05,0.00390625,5.86e-05,-16.21115563
2,0.0,7,0.25,2.93e-05,0.0078125,0.000117,-32.14211758
2,0.0,7,0.25,5.86e-05,0.015625,0.000234,-63.23702477
2,0.0,7,0.25,0.000117,0.03125,0.000469,-123.0857792
2,0.0,7,0.25,0.000234,0.0625,0.000938,-235.5274309
2,0.0,7,0.25,0.000469,0.125,0.001875,-435.5831788
2,0.0,7,0.25,0.000938,0.25,0.00375,-766.4519469
2,0.0,7,0.25,0.001875,0.5,0.0075,-1253.199307
2,0.0,7,0.25,0.00375,1.0,0.015,-1855.740961
2,0.0,7,0.5,2.93e-05,0.00390625,5.86e-05,-32.22188726
2,0.0,7,0.5,5.86e-05,0.0078125,0.000117,-63.55953395
2,0.0,7,0.5,0.000117,0.015625,0.000234,-124.0727997
2,0.0,7,0.5,0.000234,0.03125,0.000469,-238.4406343
2,0.0,7,0.5,0.000469,0.0625,0.000938,-445.0212546
2,0.0,7,0.5,0.000938,0.125,0.001875,-793.4684827
2,0.0,7,0.5,0.001875,0.25,0.00375,-1323.408771
2,0.0,7,0.5,0.00375,0.5,0.0075,-2010.753297
2,0.0,7,0.5,0.0075,1.0,0.015,-2723.608532
2,0.0,7,1.0,5.86e-05,0.00390625,5.86e-05,-63.68162711
2,0.0,7,1.0,0.000117,0.0078125,0.000117,-124.6433815
2,0.0,7,1.0,0.000234,0.015625,0.000234,-240.3891089
2,0.0,7,1.0,0.000469,0.03125,0.000469,-450.8982006
2,0.0,7,1.0,0.000938,0.0625,0.000938,-812.2200922
2,0.0,7,1.0,0.001875,0.125,0.001875,-1375.400554
2,0.0,7,1.0,0.00375,0.25,0.00375,-2138.860313
