A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0.25,1,0.125,0.03125,32,5.859375E-5,4.6875E-4,47.100744281639145
0.25,1,0.125,0.0625,32,1.171875E-4,9.375E-4,78.96340064576329
0.25,1,0.125,0.125,32,2.34375E-4,0.001875,130.59126879659223
0.25,1,0.125,0.25,32,4.6875E-4,0.00375,212.19824920008904
0.25,1,0.125,0.5,32,9.375E-4,0.0075,323.14933421534806
0.25,1,0.125,1,32,0.001875,0.015,423.13699303208756
0.25,1,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,3.314527383165654
0.25,1,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,5.897574953046684
0.25,1,0.25,0.015625,32,5.859375E-5,2.34375E-4,10.117639574632218
0.25,1,0.25,0.03125,32,1.171875E-4,4.6875E-4,16.291442450166343
0.25,1,0.25,0.0625,32,2.34375E-4,9.375E-4,24.78317788381218
0.25,1,0.25,0.125,32,4.6875E-4,0.001875,37.69639987592589
0.25,1,0.25,0.25,32,9.375E-4,0.00375,59.30836717255202
0.25,1,0.25,0.5,32,0.001875,0.0075,81.06636915127773
0.25,1,0.25,1,32,0.00375,0.015,57.84208467018601
0.25,1,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-6.724190585013105
0.25,1,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-12.39557132338493
0.25,1,0.5,0.015625,32,1.171875E-4,2.34375E-4,-22.307079207380752
0.25,1,0.5,0.03125,32,2.34375E-4,4.6875E-4,-40.112706848400784
