n,A,E,dd,d,hh,h,V
2,0.25,1,0.5,0.0075,1,0.015,-721.5475119
2,0.25,1,1,5.86E-05,0.00390625,5.86E-05,-31.31066673
2,0.25,1,1,1.17E-04,0.0078125,1.17E-04,-60.5726529
2,0.25,1,1,2.34E-04,0.015625,2.34E-04,-114.8949181
2,0.25,1,1,4.69E-04,0.03125,4.69E-04,-210.2175828
2,0.25,1,1,9.38E-04,0.0625,9.38E-04,-366.8521839
2,0.25,1,1,0.001875,0.125,0.001875,-599.6384265
2,0.25,1,1,0.00375,0.25,0.00375,-903.7205846
2,0.25,1,1,0.0075,0.5,0.0075,-1239.379907
2,0.25,1,1,0.015,1,0.015,-1540.554968
2,0.25,2,0.03125,1.83E-06,0.00390625,5.86E-05,6.599170047
2,0.25,2,0.03125,3.66E-06,0.0078125,1.17E-04,13.06287334
2,0.25,2,0.03125,7.32E-06,0.015625,2.34E-04,25.64943895
2,0.25,2,0.03125,1.46E-05,0.03125,4.69E-04,49.73211587
2,0.25,2,0.03125,2.93E-05,0.0625,9.38E-04,94.41950447
2,0.25,2,0.03125,5.86E-05,0.125,0.001875,173.2243664
2,0.25,2,0.03125,1.17E-04,0.25,0.00375,301.4029238
2,0.25,2,0.03125,2.34E-04,0.5,0.0075,483.5702171
2,0.25,2,0.03125,4.69E-04,1,0.015,688.3118332
2,0.25,2,0.0625,3.66E-06,0.00390625,5.86E-05,5.078793933
2,0.25,2,0.0625,7.32E-06,0.0078125,1.17E-04,10.04634808
2,0.25,2,0.0625,1.46E-05,0.015625,2.34E-04,19.71648028
2,0.25,2,0.0625,2.93E-05,0.03125,4.69E-04,38.14691466
2,0.25,2,0.0625,5.86E-05,0.0625,9.38E-04,72.21245453
2,0.25,2,0.0625,1.17E-04,0.125,0.001875,131.5944707
2,0.25,2,0.0625,2.34E-04,0.25,0.00375,225.8136199
2,0.25,2,0.0625,4.69E-04,0.5,0.0075,353.00132
2,0.25,2,0.0625,9.38E-04,1,0.015,474.6142854
2,0.25,2,0.125,7.32E-06,0.00390625,5.86E-05,2.046432768
2,0.25,2,0.125,1.46E-05,0.0078125,1.17E-04,4.051559342
2,0.25,2,0.125,2.93E-05,0.015625,2.34E-04,7.933549611
2,0.25,2,0.125,5.86E-05,0.03125,4.69E-04,15.31963232
2,0.25,2,0.125,1.17E-04,0.0625,9.38E-04,28.75485824
