A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0.25,2,0.0625,0.015625,64,1.46484375E-5,2.34375E-4,-22.904024662902675
0.25,2,0.0625,0.03125,64,2.9296875E-5,4.6875E-4,-6.356415051016972
0.25,2,0.0625,0.0625,64,5.859375E-5,9.375E-4,24.467405543132795
0.25,2,0.0625,0.125,64,1.171875E-4,0.001875,79.85144083710001
0.25,2,0.0625,0.25,64,2.34375E-4,0.00375,169.4261429786765
0.25,2,0.0625,0.5,64,4.6875E-4,0.0075,300.61399953098436
0.25,2,0.0625,1,64,9.375E-4,0.015,452.878615958628
0.25,2,0.125,0.00390625,64,7.32421875E-6,5.859375E-5,-34.0520989551705
0.25,2,0.125,0.0078125,64,1.46484375E-5,1.171875E-4,-33.802530439933186
0.25,2,0.125,0.015625,64,2.9296875E-5,2.34375E-4,-29.09097839622453
0.25,2,0.125,0.03125,64,5.859375E-5,4.6875E-4,-17.31116067056903
0.25,2,0.125,0.0625,64,1.171875E-4,9.375E-4,3.7908116937060434
0.25,2,0.125,0.125,64,2.34375E-4,0.001875,39.49167442765639
0.25,2,0.125,0.25,64,4.6875E-4,0.00375,92.47383151048186
0.25,2,0.125,0.5,64,9.375E-4,0.0075,163.17800366263145
0.25,2,0.125,1,64,0.001875,0.015,226.62507899187142
0.25,2,0.25,0.00390625,64,1.46484375E-5,5.859375E-5,-38.07224880039507
0.25,2,0.25,0.0078125,64,2.9296875E-5,1.171875E-4,-40.33503106757914
0.25,2,0.25,0.015625,64,5.859375E-5,2.34375E-4,-40.121599159385724
0.25,2,0.25,0.03125,64,1.171875E-4,4.6875E-4,-37.94329770618552
0.25,2,0.25,0.0625,64,2.34375E-4,9.375E-4,-37.372156032663995
0.25,2,0.25,0.125,64,4.6875E-4,0.001875,-41.39125988056952
0.25,2,0.25,0.25,64,9.375E-4,0.00375,-55.195804151622774
0.25,2,0.25,0.5,64,0.001875,0.0075,-85.12206968490148
0.25,2,0.25,1,64,0.00375,0.015,-150.31382987583547
0.25,2,0.5,0.00390625,64,2.9296875E-5,5.859375E-5,-45.062235997243604
0.25,2,0.5,0.0078125,64,5.859375E-5,1.171875E-4,-51.86433989026871
0.25,2,0.5,0.015625,64,1.171875E-4,2.34375E-4,-61.28712746647263
0.25,2,0.5,0.03125,64,2.34375E-4,4.6875E-4,-80.04626557941717
0.25,2,0.5,0.0625,64,4.6875E-4,9.375E-4,-120.33382575447737
0.25,2,0.5,0.125,64,9.375E-4,0.001875,-196.42777549410553
0.25,2,0.5,0.25,64,0.001875,0.00375,-321.6082715081462
0.25,2,0.5,0.5,64,0.00375,0.0075,-497.92050372529724
0.25,2,0.5,1,64,0.0075,0.015,-710.1477735451987
0.25,2,1,0.00390625,64,5.859375E-5,5.859375E-5,-57.621983408656966
0.25,2,1,0.0078125,64,1.171875E-4,1.171875E-4,-73.97630004159026
0.25,2,1,0.015625,64,2.34375E-4,2.34375E-4,-104.07052343189486
0.25,2,1,0.03125,64,4.6875E-4,4.6875E-4,-164.5544709579327
0.25,2,1,0.0625,64,9.375E-4,9.375E-4,-280.2179230940234
0.25,2,1,0.125,64,0.001875,0.001875,-475.3102003739298
0.25,2,1,0.25,64,0.00375,0.00375,-763.1210520538145
0.25,2,1,0.5,64,0.0075,0.0075,-1109.534826855917
0.25,2,1,1,64,0.015,0.015,-1414.221116009777
0.5,1,0.03125,0.00390625,64,1.8310546875E-6,5.859375E-5,-9.012036805165163
0.5,1,0.03125,0.0078125,64,3.662109375E-6,1.171875E-4,6.137198255129556
0.5,1,0.03125,0.015625,64,7.32421875E-6,2.34375E-4,37.91882122956612
0.5,1,0.03125,0.03125,64,1.46484375E-5,4.6875E-4,98.92045413412404
0.5,1,0.03125,0.0625,64,2.9296875E-5,9.375E-4,210.0532128565954
0.5,1,0.03125,0.125,64,5.859375E-5,0.001875,404.76390170911895
0.5,1,0.03125,0.25,64,1.171875E-4,0.00375,716.9947006627349
0.5,1,0.03125,0.5,64,2.34375E-4,0.0075,1164.1223365839628
0.5,1,0.03125,1,64,4.6875E-4,0.015,1693.1364178495155
0.5,1,0.0625,0.00390625,64,3.662109375E-6,5.859375E-5,-9.504590067328662
0.5,1,0.0625,0.0078125,64,7.32421875E-6,1.171875E-4,5.3200435531038694
0.5,1,0.0625,0.015625,64,1.46484375E-5,2.34375E-4,36.542728578193234
0.5,1,0.0625,0.03125,64,2.9296875E-5,4.6875E-4,96.32193684805306
0.5,1,0.0625,0.0625,64,5.859375E-5,9.375E-4,204.4792277302036
0.5,1,0.0625,0.125,64,1.171875E-4,0.001875,392.0182485022639
0.5,1,0.0625,0.25,64,2.34375E-4,0.00375,690.3960178292912
0.5,1,0.0625,0.5,64,4.6875E-4,0.0075,1109.7159492190824
0.5,1,0.0625,1,64,9.375E-4,0.015,1589.2255549843876
0.5,1,0.125,0.00390625,64,7.32421875E-6,5.859375E-5,-10.476581180656586
0.5,1,0.125,0.0078125,64,1.46484375E-5,1.171875E-4,3.7713385314571273
0.5,1,0.125,0.015625,64,2.9296875E-5,2.34375E-4,33.86892458103619
0.5,1,0.125,0.03125,64,5.859375E-5,4.6875E-4,91.01639251818179
0.5,1,0.125,0.0625,64,1.171875E-4,9.375E-4,192.62094956420236
0.5,1,0.125,0.125,64,2.34375E-4,0.001875,365.2293538479959
0.5,1,0.125,0.25,64,4.6875E-4,0.00375,634.7551151217805
0.5,1,0.125,0.5,64,9.375E-4,0.0075,1002.8256415454979
0.5,1,0.125,1,64,0.001875,0.015,1400.15060903
0.5,1,0.25,0.00390625,64,1.46484375E-5,5.859375E-5,-12.36325757272873
0.5,1,0.25,0.0078125,64,2.9296875E-5,1.171875E-4,0.6977396739241843
0.5,1,0.25,0.015625,64,5.859375E-5,2.34375E-4,28.353739686672885
0.5,1,0.25,0.03125,64,1.171875E-4,4.6875E-4,79.40970389939565
0.5,1,0.25,0.0625,64,2.34375E-4,9.375E-4,166.27585173229176
0.5,1,0.25,0.125,64,4.6875E-4,0.001875,308.95461686773274
